name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
AWS Cloudfront: Serve content from multiple S3 buckets,https://www.coursera.org/learn/aws-cloudfront-s3,Information Technology,Cloud Computing,Sandesh Belthangady,"In this 2-hour long project-based course, you will learn how to serve content from multiple S3 buckets using AWS CloudFront from the AWS console

Amazon CloudFront is a fast content delivery network (CDN) service that securely delivers data, videos, applications, and APIs to customers globally with low latency, high transfer speeds, all within a developer-friendly environment. Whereas Amazon Simple Storage Service (Amazon S3) is an object storage service that offers industry-leading scalability, data availability, security, and performance. By completing the steps in this guided project, you will successfully create multiple AWS S3 buckets & serve or distribute its content using AWS Cloudfront via AWS management console within the AWS Free Tier. You will also get hands-on setting up error pages, global distribution restrictions, etc.",4085.0,,4.7,60.0
AWS CodePipeline Beginner's Guide,https://www.coursera.org/learn/aws-codepipeline-beginner-guide,Information Technology,Cloud Computing,Sorabh Kaushik,"In this 2-hour long project-based course, you will learn to create AWS CodePipeline using AWS services like AWS CodeCommit, AWS CodeBuild and AWS CodeDeploy. AWS CodePipeline allows you to automate the release process for your application or service. AWS CodeCommit is a source control storage and version code service provided by Amazon. AWS CodeBuild is a fully managed build service that compiles source code, runs tests, and produces software packages that are ready to deploy. With CodeBuild, you don’t need to provision, manage, and scale your own build servers. AWS CodeDeploy is a deployment service that automates application deployments to Amazon EC2 instances, on-premises instances running in your own facility, Serverless AWS Lambda functions, or applications in an Amazon ECS service. In this Project you will create AWS Pipelines which will deploy sample react application on S3 bucket and EC2 instances. By the end of this project, you will create AWS pipeline which will use AWS CodeCommit, AWS CodeBuild and AWS CodeDeploy to automate the release process for a sample react application. After completing this training, you will have good understanding AWS CodePipeline, AWS CodeCommit, AWS CodeBuild and AWS CodeDeploy. 

Prerequisite - Basic Knowledge of AWS services (EC2, S3 and IAM) and GIT 

Please note: You will need an AWS account to complete this project. All the resources used in this project come under AWS free-tier.",,,4.5,15.0
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk,Information Technology,Cloud Computing,Sandesh Belthangady,"In this 1-hour long project-based course, you will learn how to create a Node.js RESTful API & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Express.js, or simply Express, a back end web application framework for Node.js framework to create your RESTful API & AWS desktop management console to deploy the RESTful API to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your API applications & also, monitoring your AWS servers using Elastic Beanstalk Management Console.

Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",,,4.7,15.0
AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,https://www.coursera.org/learn/python-aws-elastic-beanstalk-web-application,Information Technology,Cloud Computing,Sandesh Belthangady,"In this 1-hour long project-based course, you will learn how to create your Python web application & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Flask python framework to create your web application & AWS desktop management console to deploy the web application to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your web application & also, monitoring your AWS servers using Elastic Beanstalk Desktop Management Console.

Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",1800.0,,4.7,37.0
AWS Fundamentals: Addressing Security Risk,https://www.coursera.org/learn/aws-fundamentals-addressing-security-risk,Information Technology,Cloud Computing,"Rudy Chetty, Hong Pham","Welcome to AWS Fundamentals: Addressing Security Risk!

This course will give you an overview of security best practices when developing and managing applications on AWS. The course, created by AWS experts and delivered by AWS Solutions Architects, uses video lectures, hands-on exercise guides, demonstrations, and quizzes to dive deep on concepts about security on AWS. You will learn about the concept of “least privilege” and the AWS Shared Responsibility Model, as well as view demonstrations of Amazon GuardDuty, AWS Secrets Manager, and cross-account access.

We encourage IT professionals and leaders who are interested in learning about best practices for securing an AWS environment and applications developed on AWS to enroll in this course. Before taking this course, we recommend you complete AWS Fundamentals: Going Cloud Native (https://www.coursera.org/learn/aws-fundamentals-going-cloud-native).

Class forums will also allow you to ask questions and interact with AWS training instructors.",62033.0,51312.0,4.4,2980.0
AWS Fundamentals: Building Serverless Applications,https://www.coursera.org/learn/aws-fundamentals-building-serverless-applications,Information Technology,Cloud Computing,"Wes Gruver, Bobbie Atristain, Rick Hurst, Adam Becker","This course will introduce you to Amazon Web Services (AWS) serverless architecture. Through demonstrations and hands-on exercises you'll learn skills in building and deploying serverless solutions. 

Using real-world examples of a serverless website and chat bot, you'll build upon your existing knowledge of the AWS cloud to take advantage of the benefits of modern architectures for greater agility, innovation, and lower total cost of ownership across a range of AWS services, including AWS Lambda, Amazon API Gateway, Amazon DynamoDB, and Amazon Lex.

In this course, you'll have the option to complete hands-on exercises. We strongly suggest you take advantage of the AWS Free Tier to follow the lab exercises provided by throughout the course. Be aware that any services used outside of the free tier may result in you incurring charges through your AWS account. Class forums will also allow you to ask questions and interact with AWS training instructors. After completing this course, you'll have the knowledge and skills to build serverless solutions on AWS. 

This course has been developed by AWS, and is delivered by AWS technical instructors who teach cloud computing courses around the globe.",88060.0,54442.0,4.7,2851.0
AWS Fundamentals: Migrating to the Cloud,https://www.coursera.org/learn/aws-fundamentals-migrating-to-the-cloud,Information Technology,Cloud Computing,"Seph Robinson, Alex Galvin","This introductory course is for anyone who wants a deeper dive into AWS migration. Whether you want to understand what services are helpful, need to plan a migration for your organization, or are helping other groups with their own migration, you will find valuable information throughout this course. The course sessions structure cloud migration through the three-phase migration process from AWS: assess, mobilize, and migrate and modernize. This process is designed to help your organization approach and implement a migration of tens, hundreds, or thousands of applications. By learning about this three-phase structure—and the various AWS tools, features, and services that can help you during each phase—you will complete this course with a better understanding of how to design and implement migrations to AWS.",,45443.0,,
AWS S3 Basics,https://www.coursera.org/learn/aws-s3-basics,Information Technology,Cloud Computing,Sorabh Kaushik,"In this 1-hour long project-based course, you will learn about AWS S3 and its features like Encryption, Versioning, Static Website Hosting and Life cycle management. S3 stands for Simple Storage Service, it is a object-based storage service which AWS provides. S3 can also be used to host a static website. By the end of this project you will create S3 bucket and will be able upload content to the bucket. You will also enable Encryption, Versioning for S3 Bucket, Static website hosting and will create Lifecycle management rule for objects in S3 Bucket. After completing this training you will have good understanding of about AWS S3 and its features.

Please note: You will need an AWS account to complete this project. All the resources used in this project come under AWS free-tier.",37845.0,,4.5,704.0
AWS: Publish a NodeJS Website from Scratch,https://www.coursera.org/learn/aws-publish-nodejs-website-from-scratch,Information Technology,Cloud Computing,Erjan Gavalji,"In this project-based course, you will learn how to launch your own server at Amazon AWS Lightsail, configure your own SSH client and upload files to the server. Then, you will learn how to modify the server to access it privately. Further, you will learn how to change the server configuration to have a simple NodeJS game with both a backend and frontend started automatically and its content served through the Apache webserver.

Note: To avoid distraction for setup during the course, we would recommend that you create an Amazon AWS account beforehand.",4601.0,,4.5,64.0
Accelerating GKE Incident Response with Prisma Cloud and Cortex XSOAR,https://www.coursera.org/learn/googlecloud-accelerating-gke-incident-response-with-prisma-cloud-and-corte-s3gv0,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Access an EC2 instance shell from the AWS console,https://www.coursera.org/learn/accessing-ec2-instance-aws-console,Information Technology,Cloud Computing,Sandesh Belthangady,"In this 1-hour long project-based course,  you will learn how to Access an EC2 instance shell from the AWS console

Amazon Elastic Compute Cloud is the service you use to create and run virtual machines (VM), also known as instances. By completing the steps in this guided project, you will successfully launch a Linux VM on Amazon EC2 within the AWS Free Tier. You will also connect to the instance that you launch using the AWS management console and then deploy a web application using the AWS management console.",1915.0,,4.5,34.0
Accessing your AWS EC2 servers,https://www.coursera.org/learn/accessing-aws-ec2,Information Technology,Cloud Computing,Anju M Dominic ,"Welcome to ""Accessing your AWS EC2 servers"". 

In this guided project you will learn various methods to access your AWS EC2 servers. The task-based approach that we follow in our guided project will get you a better understanding of accessing your EC2 servers using pem file, EC2 Instance Connect, SSM etc. This comes very handy while working on your real-life project on AWS Cloud.  

Good luck as you get started, and I hope you enjoy the course!
Happy learning !!!!!",,,,
Adding a Phone Gateway to a Virtual Agent,https://www.coursera.org/learn/googlecloud-adding-a-phone-gateway-to-a-virtual-agent-wrujq,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Adding an Apigee X Environment and Group,https://www.coursera.org/learn/googlecloud-adding-an-apigee-x-environment-and-group-d6gdo,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Advanced Ansible for Devops: Create the MEAN Stack,https://www.coursera.org/learn/advanced-ansible-devops-create-mean-stack,Information Technology,Cloud Computing,Rudi Hinds,Advanced Ansible for Devops: Create the MEAN Stack,,,,
Advanced Application Management with Red Hat OpenShift,https://www.coursera.org/learn/advanced-application-management-with-red-hat-openshift,Information Technology,Cloud Computing, Marek Czernek,"This course explores Red Hat OpenShift Container Platform (RHOCP) as a container orchestration platform. In this course, students will deploy applications to OpenShift. Students will learn how to let RHOCP containerize their source code, how to scale the deployments, and how to troubleshoot issues with the deployments.",,5811.0,,
Alibaba Cloud Native Solutions and Container Service,https://www.coursera.org/learn/cloud-native,Information Technology,Cloud Computing,Steve Xue,"Course Description

This course demonstrates how to use Alibaba Cloud Container Service and Container Registry Service to design and develop architectures related to cloud native applications, services, and security solutions. This course helps you understand the basic concepts of cloud native, the commercial implementation of container technology, and Kubernetes technology as well as extra benefits provided by Alibaba Cloud. This course is intended to prepare users to take the Alibaba Cloud Native ACA certification exam.

To earn an official Alibaba Cloud certificate please join the Cloud Native courses on the Academy's website:
DevOps Specialty: https://edu.alibabacloud.com/course/316
Using Kubernetes to Manage Containers: https://edu.alibabacloud.com/certification/clouder_kubernetes
Alibaba Cloud and CNCF Cloud Native Open Class: https://edu.alibabacloud.com/course/312",,,,
Amazon DynamoDB: Building NoSQL Database-Driven Applications,https://www.coursera.org/learn/dynamodb-nosql-database-driven-apps,Information Technology,Cloud Computing,"Seph Robinson, Morgan Willis","This course introduces you to NoSQL databases and the challenges they solve. Expert instructors will dive deep into Amazon DynamoDB topics such as recovery, SDKs, partition keys, security and encryption, global tables, stateless applications, streams, and best practices.

DynamoDB is a key-value and document database that delivers single-digit millisecond performance at any scale. It's a fully managed, multiregion, multimaster database with built-in security, backup and restore, and in-memory caching for internet-scale applications. DynamoDB can handle more than 10 trillion requests per day and support peaks of more than 20 million requests per second.

This course uses a combination of video-based lectures delivered by Amazon Web Services expert technical trainers, demonstrations, and hands-on lab exercises, that you run in your own AWS account  to enable you to build, deploy and manage your own DynamoDB-powered application.",16440.0,74117.0,4.7,183.0
Amazon Translate: Translate documents with batch translation,https://www.coursera.org/learn/amazon-translate-translate-documents-with-batch-translation,Information Technology,Cloud Computing,Abhishek Jha,"In this guided project, you will be using Neural Networks powered Amazon Translate batch translation feature to translate documents such as Word, Powerpoints and Excel sheets while maintaining the format of the documents. We will begin by exploring Amazon Translate and creating an S3 storage bucket with input & output folders. We will then create a batch translation job that can translate any document into any desired language. By the end of this project, you will be confident in working with Amazon translate and you will be able to translate any document (Word, Excel, PPT, HTML) to any language that is supported by Amazon Translate. 

This project is for professionals, businesses and freelancers who constantly need to translate documents from one language to another. Amazon translate is an amazing technology powered by AI and neural networks solutions that can translate your documents and files without destroying their format.  We will be using the Amazon AWS Free tier which allows translations of up to 2 Million characters for Free every month. 

Note: In order to complete this project, you need an AWS account. Even if you do not have an AWS account, you will be guided to create a Free Tier AWS account in the project.",,,4.3,19.0
Analytics as a Service for Data Sharing Partners,https://www.coursera.org/learn/googlecloud-analytics-as-a-service-for-data-sharing-partners-tek4n,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Analyzing Billing Data with BigQuery,https://www.coursera.org/learn/googlecloud-analyzing-billing-data-with-bigquery-1hx75,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Analyzing Natality Data Using Vertex AI and BigQuery,https://www.coursera.org/learn/googlecloud-analyzing-natality-data-using-vertex-ai-and-bigquery-ijkw4,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Analyzing a Tennis Serve with the Video Intelligence API,https://www.coursera.org/learn/googlecloud-analyzing-a-tennis-serve-with-the-video-intelligence-api-lsn98,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Ansible Basics & Installing WordPress on LAMP with Playbooks,https://www.coursera.org/learn/ansible-introduction-playbook-lamp-wordpress-cloud-devops-automation,Information Technology,Cloud Computing,Prasanjit Singh,"This guided-project introduces you to Ansible automation and configuration management, provisioning, deploying, and managing compute infrastructure with Ansible.

By the end of this project, you will be able to set up, develop, and use Ansible to configure and automate your environment. In addition, you will learn to install WordPress on LAMP with Playbooks. This exercise will allow you to understand how to write, customize and apply Ansible Playbooks for automating and orchestrating software stacks.",,,4.5,59.0
Ansible for DevOps: Write your first Playbook,https://www.coursera.org/learn/ansible-write-your-first-playbook-and-learn-how-it-works,Information Technology,Cloud Computing,Rudi Hinds,"In this course, we are going to focus on the following learning objectives:

 - Understand core Ansible concepts
 - Write an Ansible Playbook using the concepts

By the end of this course, you will have a solid grasp constructing Ansible Playbooks. You will be ready to work with Ansible in your own environments from the ground up. 

In this 1-hour long project-based course on Ansible for DevOps: Write your first Playbook, you will work with some of the core concepts of Ansible. We will be setting up servers which will act as one control machine and multiple host machines. We will then configure Ansible on our clean Ubuntu server. We will learn the core concepts that make up a Playbook including Plays, Tasks, Modules, Notify Handlers and Var injection. You will get to write your own Playbook which will use the learned concepts. We will learn how to make changes in our Playbooks and see how that affects our host machines. By the end of this course you will be comfortable going forward building your own Ansible files, and accessing the documentation yourself. Please note this course requires you to have a credit card to be able to set up your own Linode account if you don’t already have one.",,,4.4,26.0
Answering Complex Questions Using Native Derived Tables with LookML,https://www.coursera.org/learn/googlecloud-answering-complex-questions-using-native-derived-tables-with-l-msb9l,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Anthos on Bare Metal,https://www.coursera.org/learn/anthos-on-bare-metal,Information Technology,Cloud Computing,Google Cloud Training,"Course three of the Anthos series prepares students to run Anthos in a customer’s on-premises environment, on bare metal.Through presentations and hands-on labs, participants explore deploying and running Anthos applications on bare metal, creating the Anthos infrastructure, deploying applications, and performing monitoring, logging, and tracing. This course is a continuation of course two, Cloud Operations and Service Mesh with Anthos, and assumes direct experience with the topics covered in that course.",,,,
App Dev: Adding User Authentication to your Application - Python,https://www.coursera.org/learn/googlecloud-app-dev-adding-user-authentication-to-your-application-python-jh1dy,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
App Dev: Deploying the Application into Kubernetes Engine - Python,https://www.coursera.org/learn/googlecloud-app-dev-deploying-the-application-into-kubernetes-engine-pytho-emnhx,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
App Dev: Developing a Backend Service - Python,https://www.coursera.org/learn/googlecloud-app-dev-developing-a-backend-service-python-eddsf,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Application Development using Microservices and Serverless,https://www.coursera.org/learn/applications-development-microservices-serverless-openshift,Information Technology,Cloud Computing,Alex Parker,"Are you a developer ready to explore serverless application development? This intermediate-level course is for you! 

Begin with an understanding of how serverless benefits developers, learn when to use serverless programming, serverless deployment models, and discover its top use cases and design patterns. You’ll also discover how serverless supports continuous integration and continuous delivery (CI/CD) and microservices integration. 

Hands-on labs reinforce serverless programming concepts for creation, deployment, and invocation of cloud-based functions—including the deployment of microservices using OpenShift and Istio. Complete the course with the confidence to build a multi-tier web app that uses IBM Cloud Functions, OpenShift, Istio, and more.",11776.0,88338.0,4.5,69.0
Application Development with Cloud Run,https://www.coursera.org/learn/application-development-with-cloud-run,Information Technology,Cloud Computing,Google Cloud Training,"This course introduces you to fundamentals, practices, capabilities and tools applicable to modern cloud-native application development using Google Cloud Run. Through a combination of lectures, hands-on labs, and supplemental materials, you will learn how to on Google Cloud using Cloud Run.design, implement, deploy, secure, manage, and scale applications",1525.0,14047.0,4.5,17.0
Application Modernization for Enterprise Systems,https://www.coursera.org/learn/application-modernization-for-enterprise-systems,Information Technology,Cloud Computing,Mark Bylok,"During this learning journey, you will be learning how to apply modernization in your Hybrid Cloud environment including IBM Z.

We will look at lifecycle enablement by using DevOps, how to create an application centric environment, Establishing Data Centric Integration and utilize events to drive responses. 

By using digital content, use cases and hands-on exercises we provide theability to look and learn what it takes to achieve and implement modernization in the best way possible.",,,,
Aprenda Javascript sin experiencia previa en programación,https://www.coursera.org/learn/aprenda-javascript-sin-experiencia-previa-en-programacin,Information Technology,Cloud Computing,Carlos Jesus,"Proyecto guiado para personas sin conocimientos previo en programación o para aquellos que deseen conocer el lenguaje de JavaScript.

Requisitos necesarios para para este curso es,  conocer el lenguaje de marcado HTML 5 y CSS 3.

Aprenderá la sintaxis de javascript, condicionales, eventos,  y los métodos del DOM.

Crearemos un app web dinámico como proyecto guiado.

Al final tendrá un proyecto reto, para reforzar lo que aprendió en este curso.",,,,
Aprendiendo Infraestructura como código con Terraform,https://www.coursera.org/learn/aprendiendo-terraform,Information Technology,Cloud Computing,Nestor Nicolas Campos Rojas,"En este proyecto de 1 hora, aprenderás a implementar un servidor web sobre AWS utilizando código, a través de Terraform, lo que te ayudará a automatizar estos despliegues, minimizando el trabajo y los errores.
Además, aprenderás algunas buenas prácticas en este sistema de Infraestructura como código.",,,,
Architecting Applications for IBM Z and Cloud,https://www.coursera.org/learn/architecting-applications-ibm-z-cloud,Information Technology,Cloud Computing,Martin Keen,"This course focuses on the architect persona to help learners understand how to apply IBM Z modernization in designs. This helps to integrate various technologies, platforms and applications across the enterprise in a seamless and transparent manner.

We will look at lifecycle enablement by using DevOps, creating an Application Centric environment, establishing Data Centric Integration, and utilizing events to drive responses.

By using digital content, use cases, and hands-on exercises, we provide the ability to look and learn what it takes to achieve and implement modernization in the best way possible.

As a pre-requisite, learners must complete the course Application Modernization for Enterprise Systems on Coursera.",,,,
Architecting Solutions on AWS,https://www.coursera.org/learn/architecting-solutions-on-aws,Information Technology,Cloud Computing,"Rafael Lopes, Morgan Willis","Are you looking to get more technical? Are you looking to begin working in the cloud, but don’t know where to go next? Are you looking to up your game by prepping for the AWS Solutions Architect Associate Exam? Do you see yourself as a cloud consultant, but can’t quite envision how your days would be? Are you puzzled how to match a customer’s requirements with the right AWS services/solutions? If so, you are in the right place!! You’ll learn how to plan, think, and act like a Solution Architect in a real-life customer scenario.

In this course, you’ll get prepared to begin your career architecting solutions on AWS. Through a series of use case scenarios and practical learning, you’ll learn to identify services and features to build resilient, secure, and highly available IT solutions in the AWS Cloud. Each week, a fictional customer will present a different need. We will then review the options, choose the best one for the use case and walk you through the architecture design on a whiteboard. You’ll learn about event-driven architectures with a focus on performance efficiency and cost. You’ll then gain knowledge on how to architect a solution using many purpose-built AWS services. With this understanding, you’ll get a sense of hybrid architectures with a refined focus on reliability and operational efficiency. Finally, you’ll wrap up your learning by understanding a multi-account strategy centered on security and cost.",,27387.0,,
Architecting and Installing the Apigee Hybrid API Platform,https://www.coursera.org/learn/fundamentals-installation-of-apigee-hybrid-api-platform,Information Technology,Cloud Computing,Google Cloud Training,"""This course introduces you to the fundamentals and practices used to install and manage Google Cloud's Apigee API Platform for hybrid cloud. Through a combination of lectures, hands-on labs, and supplemental materials,

you will learn how to install and operate the Apigee API Platform.""",1775.0,2246.0,4.6,32.0
